0000ecf58c94668,2014-06-21,EmailOpen
0000ecf58c94668,2014-07-01,EmailOpen
0000ecf58c94668,2014-07-03,Purchase
0000ecf58c94668,2014-07-04,Customersupport
0000ecf58c94668,2014-10-01,EmailOpen
0000ecf58c94668,2014-11-01,EmailOpen
0000ecf58c94668,2014-11-18,EmailOpen
0000ecf58c94668,2015-01-28,EmailOpen
0000ecf58c94668,2015-01-31,EmailOpen
0000ecf58c94668,2015-02-05,EmailOpen
0000ecf58c94668,2015-02-13,EmailOpen
0000ecf58c94668,2015-03-19,EmailOpen
00012205dd4613b,2013-10-02,Emailopen
00012205dd4613b,2013-10-30,Emailopen
000198d39a568cf,2014-01-09,Purchase
000198d39a568cf,2014-01-10,Customersupport
0001b315b991cf0,2015-04-28,EmailOpen
00022618457fcf2,2013-07-31,Purchase
00022618457fcf2,2013-08-02,customersupport
000256826de4432,2014-10-06,Purchase
000256826de4432,2014-10-07,customersupport
000269150971d08,2015-03-13,EmailOpen
000269150971d08,2015-03-19,EmailOpen
000269150971d08,2015-04-20,EmailOpen
000297ba4fa5026,2013-08-16,EmailOpen
000297ba4fa5026,2014-02-24,EmailOpen
000297ba4fa5026,2014-04-28,EmailOpen
